==================================================
CIFAR-100 ResNet 訓練紀錄
==================================================
電腦名稱     : spark-8125
Python 版本  : 3.12.3
PyTorch 版本 : 2.14.0+cu130
訓練裝置類型 : CUDA
裝置名稱     : NVIDIA GB10 (130.66 GB)
CUDA 版本    : 13.0
訓練開始時間 : 2026-09-19 11:40:22
總訓練時間   : 1266.33 秒

--------------------------------------------------
Epoch    Loss       Train Acc    Test Acc     累計時間
--------------------------------------------------
1/50    3.9302     9.24         13.94        51.43s
2/50    3.2692     19.61        24.20        91.12s
3/50    2.7411     29.29        34.33        130.61s
4/50    2.3649     37.04        40.24        168.23s
5/50    2.0898     42.94        44.86        207.70s
6/50    1.8840     47.79        46.78        245.61s
7/50    1.7156     52.12        52.09        283.76s
8/50    1.5649     55.57        53.08        323.22s
9/50    1.4309     58.73        56.93        362.56s
10/50    1.3173     61.82        57.96        401.94s
11/50    1.2267     64.08        59.68        440.85s
12/50    1.1302     66.62        60.89        472.55s
13/50    1.0465     68.68        63.24        504.80s
14/50    0.9686     70.74        63.52        537.09s
15/50    0.8856     73.08        63.66        569.29s
16/50    0.8190     75.04        64.71        608.47s
17/50    0.7402     76.97        65.38        652.38s
18/50    0.6770     78.76        65.93        693.22s
19/50    0.6216     80.38        67.07        725.91s
20/50    0.5562     82.21        67.13        774.93s
21/50    0.5044     84.00        68.21        818.82s
22/50    0.4522     85.49        68.13        859.73s
23/50    0.4088     86.63        68.20        903.13s
24/50    0.3649     88.13        67.67        931.26s
25/50    0.3202     89.55        69.06        952.78s
26/50    0.2942     90.49        69.06        965.32s
27/50    0.2525     91.81        69.32        977.93s
28/50    0.2150     93.10        70.03        990.45s
29/50    0.1944     93.81        69.77        1003.04s
30/50    0.1770     94.44        69.69        1015.63s
31/50    0.1513     95.08        69.84        1028.14s
32/50    0.1355     95.64        70.40        1040.64s
33/50    0.1189     96.24        70.24        1053.08s
34/50    0.1055     96.72        70.43        1065.65s
35/50    0.0931     97.06        70.57        1078.14s
36/50    0.0844     97.44        70.86        1090.60s
37/50    0.0732     97.77        71.41        1103.10s
38/50    0.0654     98.06        71.07        1115.70s
39/50    0.0597     98.28        71.45        1128.25s
40/50    0.0527     98.50        71.22        1140.83s
41/50    0.0475     98.66        71.34        1153.41s
42/50    0.0425     98.87        71.29        1165.89s
43/50    0.0392     98.97        71.72        1178.35s
44/50    0.0370     99.08        71.63        1190.85s
45/50    0.0362     99.11        71.63        1203.34s
46/50    0.0339     99.11        71.96        1215.92s
47/50    0.0320     99.19        71.63        1228.44s
48/50    0.0296     99.33        71.87        1240.91s
49/50    0.0305     99.29        71.61        1253.77s
50/50    0.0291     99.30        71.69        1266.33s
--------------------------------------------------

訓練完成
