==================================================
MNIST CNN 訓練紀錄
==================================================
電腦名稱     : spark-8125
Python 版本  : 3.12.3
PyTorch 版本 : 2.14.0+cu130
訓練裝置類型 : CUDA
裝置名稱     : NVIDIA GB10 (130.66 GB)
CUDA 版本    : 13.0
訓練開始時間 : 2026-09-19 11:47:47
總訓練時間   : 387.70 秒

--------------------------------------------------
Epoch    Loss       Train Acc    Test Acc     累計時間
--------------------------------------------------
1/50    0.2072     93.66        98.48        9.56s
2/50    0.0711     97.95        99.02        16.16s
3/50    0.0505     98.53        99.23        22.67s
4/50    0.0408     98.80        99.16        29.27s
5/50    0.0339     98.98        99.20        35.85s
6/50    0.0303     99.06        99.28        42.38s
7/50    0.0264     99.18        99.24        48.90s
8/50    0.0220     99.25        99.34        55.43s
9/50    0.0200     99.34        99.37        62.04s
10/50    0.0165     99.50        99.36        68.54s
11/50    0.0162     99.46        99.27        75.10s
12/50    0.0174     99.47        99.29        81.63s
13/50    0.0129     99.58        99.39        88.16s
14/50    0.0131     99.56        99.47        94.76s
15/50    0.0120     99.64        99.38        101.30s
16/50    0.0127     99.57        99.35        107.84s
17/50    0.0107     99.65        99.33        114.39s
18/50    0.0114     99.64        99.31        120.88s
19/50    0.0092     99.67        99.34        127.46s
20/50    0.0111     99.66        99.46        134.04s
21/50    0.0071     99.76        99.38        141.48s
22/50    0.0097     99.69        99.30        150.20s
23/50    0.0096     99.72        99.32        159.32s
24/50    0.0078     99.75        99.43        168.08s
25/50    0.0076     99.75        99.41        176.83s
26/50    0.0084     99.73        99.46        185.59s
27/50    0.0077     99.75        99.44        194.32s
28/50    0.0064     99.78        99.38        203.17s
29/50    0.0059     99.84        99.41        212.01s
30/50    0.0073     99.77        99.49        220.87s
31/50    0.0066     99.79        99.35        229.66s
32/50    0.0068     99.78        99.44        238.37s
33/50    0.0070     99.77        99.35        244.98s
34/50    0.0067     99.76        99.32        251.59s
35/50    0.0067     99.80        99.39        258.17s
36/50    0.0049     99.83        99.40        264.67s
37/50    0.0064     99.81        99.44        271.18s
38/50    0.0061     99.81        99.34        277.71s
39/50    0.0085     99.76        99.39        286.47s
40/50    0.0030     99.91        99.42        296.29s
41/50    0.0060     99.80        99.29        306.07s
42/50    0.0045     99.86        99.37        315.91s
43/50    0.0051     99.85        99.40        325.66s
44/50    0.0051     99.84        99.37        334.96s
45/50    0.0053     99.84        99.39        343.70s
46/50    0.0067     99.82        99.33        352.49s
47/50    0.0040     99.87        99.35        361.26s
48/50    0.0077     99.81        99.38        370.06s
49/50    0.0047     99.87        99.26        378.91s
50/50    0.0036     99.88        99.35        387.70s
--------------------------------------------------

訓練完成
